,AuthorName,Comment
0,Moonsky,yee
1,Misael Taveras,Will Smith?
2,HarryTV,Whats wrong with the CGI?
3,StrangeHackerDJ ROBLOX & More,Thor and Vakyrie teaming up on ripping off noobmaster69's arms and shove them off his butt
4,neetacomp,The 10th realm of the cosmos
5,SoftColdHearted,Agent H & M. Hmm.. sounds familiar!! Hahahaha
6,John Johnson,Men in black irrelevant.
7,Paul Koshy,"Agent H. Is chris.

H= Hemsworth"
8,roger kle,"Is this the Hollywoods SJW version of men in black ? just remove the original main characters and put in a smart and strong woman and a sexy hunk who is dumb as a rock. this dude is recycled in alle new sjw movies today where it is a female cast, they always need a dumb, but sexy man beside them"
9,dwarfsview,Prismo?
10,Brent Mosey,Can't top the original. Sorry.
11,ROSHAN NAIR,Will Smith????
12,Kristofer Ramirez,"There's always gotta be an sjw line huh😂😂 ""men and women in black"" 😂😂"
13,Abednego Virgia,Thor and valkry
14,ame87,Having Loki's cameo in this must be really fun.
15,BotSLAYER,Girl and men in black
16,Jim Lahey,This looks like trash I waited this long and it isn’t even will smith and Tommy Lee Jones🤬
17,kotum yomgam,Michael Jackson cosplay?
18,Kunal Tomar,02:23 is hilarious
19,its ya boi dipshit cow,This looks like a modern spy kids movie. What a mess.
20,Laurent Siebenmann,Pourquoi ces quelques images rapides avant le trailer? Les gens ne sont plus capables de regarder une bande-annonce de 2 minutes? Il faut un résumé pour les ados impatients et incapables de se concentrer plus de dix secondes?
21,Pixie Bubbles,I'm only watching cause Thor is in it.
22,Enkhjin Bymbabat,This is Thor? and Asgard?
23,Ma Hugo,Will Smith became Genie so no agent j.........
24,Pracus,Funny squad
25,Asyh malik,Chris hemsworth❤❤
26,Wentener,"They Protecc 
They Attack 
But Mostly 
Their Men in Black"
27,DR Evil,Just letting you all know I won't be watching
28,CrimsonMey,gawd I hope Noobmaster69 turns out to be them coffee addicted worm guys
29,lindinle,"what you want to bet that the training will be glossed over or completely dropped?
there wont be a ""never push the red button"" moment. because i bet she will fly the car jet."
30,McSuperfly,Didn’t you watch the trailer? “I found _YOU._ I’m perfect for this job”
31,lindinle,Men and Women not in Theater.
32,lindinle,the animated cartoon  was way better than this. because it wasnt written for  [and by] stupid people
33,lindinle,"how about rename the movie to
MIBisDOA:"
34,tRonald Dump,I already know that Liam Neeson is a member of The Hive
35,lindinle,yup.
36,mimi Lucas,Where is will smith
37,Antonis 0X18,Gadgets guns flying car and more the flying bike are similar like gta stuff
38,Alex Mazurek,Oh no are we gonna see Lexus unnecessarily sponsoring another movie?
39,tyler ross,Should be called Man and Women in Black lol this movie looks stupid because of the fact they replaced one of the dudes with a chick
40,DEFAET Victory,Thor wakiri
41,archie parkin,They called it “international” because they didn’t want to compare it to will smiths
42,lindinle,too late.
43,AlexDeactivateMC,MIB was my childhood. I watched the movies and played the vidogame with my cousins. Can't wait for this one to come out. I also loved these two from Thor: Ragnorak
44,Mr Wonderful,How can they screw up MIB so badly.
45,lindinle,watch the trailer.
46,Denmark,"*Men* In Black


Why is there a woman? Why are all great films suddenly being replaced with women, it is so stupid."
47,lindinle,"@Denmark yeah, i agree as well. i seriously got ghostbusters 2016 vibes from this."
48,Denmark,"@Mackenzie Lefler she was more of a boss than an actual agent going on missions, but this is going too far, all great movies are being replaced with 'diversity' and 'progressivism' which is ruining it. Many fans of the original movies would agree."
49,Mackenzie Lefler,Denmark you’re kidding right? Emma Thompson has been in the series since the beginning and obviously is female and an agent. There were female agents in the film series before this one. They just made one part of the focused team.
50,Infamous,"Feminism ruins another one, sigh...."
51,Jordan Bass,Whatever happen too will smith and tommy lee Jones
52,Eric Colburn,At least will Smith is not In it.
53,weirdoBTW,*Men and Woman in Black*
54,Epic Gamer,THIS WILL NEVER BE AS GREAT AS MIB 1-3 JUST BECAUSE OF THE NEW ACTORS
55,ondamedjedi,Is there a montage in the beginning where he goes from fat thor back to skinny thor?
56,ondamedjedi,"So liam's neeson's daughter that he got back was one of them shape shifting aliens, noted."
57,illuminati,Can't wait to not see this movie.
58,Koragious J03,This is like the 3 movie that includes a desert
59,lindinle,you mean you throw up after eating it?
60,Alexandre Reis,Another movie destroyed
61,Emilio Gonzalez,Hi Membarrie here
62,Khalida Benmeddour,Trop cool
63,Zee Fisher,This will suck
64,apgovea1 g,This will be the worst most disgusting men in black ever hopefully they will learn just like Ghostbusters learn nobody wants to watch a woman do a man's job
65,Jbird1004,Yeah it’s called MEN in Black for a reason
66,suraiya Islam,where is j nd k.....
67,Trevor Ruth,WE WUZ KWEENZ N SHIET
68,Kateregga Badru jnr,This is so amazing 😂
69,อ่วน ใจดี,I want will samit
70,J Alsbrook44,“PC and Feminism compliant characters who happen to have black suits on”. International. 🤦🏻‍♂️
71,Jared Jackson,No thanks. So tired of the SJW crap. The fact they chose these two actors is just a way to trick Marvel fans into watching garbage.
72,Cherzo,utter garbage
73,Dawnsy,"1:46-1:54 oppressor mk2



GTA 5 ONLINE"
74,Not important Please don’t,Its rewind time everybody
75,Farhan Wakil,Is this the multiuniverse
76,Mushroomstamp,Women can’t be agents
77,evilemperordude,"I like Kumail Nanjiani, but his character in this just seems really annoying."
78,Ricardo,Men in black with one of the agents being a woman? Is she transgender???
79,Darice Nicolas,Where's frank you guys
80,Larry Emmanuel,Thanos (Josh Brolin) used to be young agent k in MIB 3 😁
81,Beast Incarnate,Taken 4: Ragnarok
82,Shadow Eyes,"""That was an incredible catch"""
83,Cameron Kim,*Men* in black. 🤨
84,Zoha Fatima,IKR
85,Michal Pie,Another destroyed movie by the PC culture! Hollywood  is dead ! ... shame.
86,Jamz,"Me: I like men in black, But i also like Marvel.



Writer: *Say no more*"
87,Jamz,@lukas yahya mb
88,lukas yahya,It's actually men in black
89,Adi Unduhrama,Whoaaa missi elliot
90,Carl Jackson,All you fan's out their give me a Hell ya if this is gonna be epic?
91,Carl Jackson,@Dwain Wilson 🤣🤣🤣
92,Dwain Wilson,Its going to suck.
93,annie leblanc,Wow thor and valkryie nice jobs
94,violet buel,this radiates thor and valkyrie energy and i love it
95,Garbage Content,No it’s men in black not mwib
96,mr. boss,Tell me how the CGI in this movie is worse than the old movie.
97,SkyBirdGirl MsArianna 2047,"Everybody: MIB 4

Sony:  The fantastic beasts of MIB"
98,Andi Sopandi,kereeeeereern!!!!!!!
99,Cesar Martínez,Women in black 🤣🤣🤣🤣
100,B T,"Wow so will smith is the black woman. 

Why do feminist have to ruin everything. Its MEN IN BLACK. just make a movie called BITCHES IN BLACK"
101,Jordanj daboss,That’s not a MAN!
102,Drowsy Deer,I wonder if Griph will appear in this.
103,J.k Upadhyay,Eagerly waiting😍😍😍😍😍😍😍😍😍
104,Person's Personality,"Men in Black ends with cliffhanger...
7 years later..
Yep the old dynamic duo's been replaced😅"
105,Techno Spider,Men in black 3 ended with a cliffhanger?
106,OutMatch -,How is it called men in Black if there's a girl
107,Joe Rios,Yes because when I think of a Men in Black movie I think of Straight Otta Compton.😒
108,CORN MEAL,...SO NO1 KNEW THAT MEN IN BLACK COMICS IS OWN BY MARVEL??.....GOOGLE PEOPLE!!!.....GOOGLE!!! 😲
109,TXDropEm,98% of these comments are based on Thor Ragnorok. Can’t say I’m surprised
110,Juan Aguilar,Will Smith. Where are you?
111,Real Zay,There’s no MIB without Will Smith 🤷🏻‍♀️🤦🏻‍♀️ They really sat here and fucked up the movie 😒
112,Jeromeo 1,F'ing stupid.
113,Joseph joseph,I feel like feminists are apart of this bullshit putting a women 🙄
114,poonam goswami,Thor new look osm.  Yes. Like. And no. Unlike
115,Rajvee Shah,❤❤👍👍
116,Sydney Yates,No will no likey
117,Real_LiLGhost Official,"Men in black, why is there a woman"
118,MockupRender,"Ending a trailer with the words, ""ohh shiiiiiii"" should be made punishable by law"
119,Z3R0 SA1NTS 13,You need to name the movie “People in Multicolours” because you don’t want to get the SJWs triggered
120,anurag kundu,"Thor and Valkyrie , searching for Hela 😎"
121,slime playz,People who hated Ghostbusters becuse they replaced the men with women this movie was made for you
122,Energy Vibes,This movie is trash
123,Vanessa V,Mmmmm. No
124,Flimflam Jr.,I can't wait for Paul Blart 3
125,M Hjalmers,Personally I'd rather see Ava Marcille than Tessa on the big screen
126,April Clarke,"Can't make a buddy cop film without two men, that's what made it work last time."
127,McSuperfly,I read somewhere that their periods attract bears. How is a buddy cop film supposed to work if they’re constantly being chased by bears? It’s putting the whole MIB organisation in jeopardy!
128,Dan hansson,One to avoid
129,The lazy_ Animator,"Kinda weird that the actors (TESSA AND CHRIS) are also in ""THOR RAGNAROK"" also..."
130,Miroslava Benavides Rodriguez,"""Thor Ragnarok 2 without Loki""
😆Lol"
131,Miroslava Benavides Rodriguez,@ame87 I know they ruined it! 😫
132,ame87,Nooooooooooooooooo!
133,POTTY MOUF DOOM,"I am a simple man
I click video
I don't see Will Smith or Tommy Lee Jones or even the Worms.
I dislike & pray for it to go away. 😑"
134,Cad,the worms were there at 0:44
135,Kim van der Linden,That lil froggy thing is so frickin cute what the hell? ps: I wasn't that excited about the movie but now I am. :'D
136,Josh Pullen,How could they ruin this franchise! Will Smith and Tommy Lee Jones make these films work!!!! It’s like making a Rambo movie without Sylvester Stallone! Not even gonna bother watching this! DOES ANYONE ESLE AGREE?
137,IzEror,"Excited except for the stupid ""men and women in black"" bit. It's 'Men in Black' as in Humans. They deal with aliens. It's an important distinction. In the first 2 films they made it clear to me: MIB didn't care so long as the suit was black and the person wearing it was human. Bah whatever."
138,Uzair H7,Men and women in black 👍 😂😂😂
139,I thought,Diversity...
140,Arpajeni Arpajeni,Where is...j.....😓
141,Mary Barajas,Wtf? I want Will and Tommy !!!!! . This is my fave movie ! Thanks for ruined it !!’
142,Killer Wolf,looks awful
143,hana,I ship them so hard I hope there’s some kind of romance in the movie that would be so cute 😖🥰
144,Diabetic Dan,"The ""Men and Women in Black"" he says.... really Hollywood...? It wasn't even a snicker worthy line. Hope the movie title doesn't change in future renditions."
145,Ceramic HoodZz,So an alternate universe was made in avengers?
146,Todd Dawson-Cooper,Nobody else noticed Agent J and K in the flashback at 0:22?
147,x l a s h i,"I'm a MIB fan since Will Smith and Tommy Lee Jones were there but Im also a Marvel fan and I can't wait to watch this. 


(It's not out yet in our country.) •_•"
148,Spicy Mike,Wtf is this bullshit no will smith or tommy lee jones I hate when they don’t keep the original actors who was apart of this franchise come on now is this a joke cause it ain’t funny
149,Joseph Vijay,"The film is going to end up just like the Ghost busters  ""reboot""!"
150,McSuperfly,"Why, because there’s a female MIB agent? You know the original movie ended with Linda Fiorentino’s character destroying the bug monster and becoming a MIB agent right?"
151,m l,"And of course they had to remake it with a woman being the agent and the woman being the head of the MIB department. Not watching , thanks."
152,McSuperfly,Emma Thompson was already established as the head of MIB in the last movie and the original literally ended with a women becoming an agent 🤦‍♂️
153,Lic Ma,Part 2 of Thor Ragnarok
154,Ryan Lay,Should be named man in black
155,Dalton Gray,What a joke
156,Henry R,Should be woman and man in black; it’s not really men in black. this is a joke
157,Franz Schnabel,Men in Black? It´s more like black Woman in dark clothes! A-A-argh!!My Bullshit sensor is instant ringing louder than a church bell....
158,Lou,"No Will Smith?
No Tommy Lee Jones?






Screw that! I'm out of here."
159,McSuperfly,"I’d be surprised if their characters aren’t referenced at some point (in fact that’s probably them at 0:22 wiping her parents memory) but plenty of franchises eventually move forward with new characters in an attempt to jumpstart things. Let’s be honest, nobody was clamouring for another MIB, with or without Will Smith and Tommy Lee Jones. 

Besides, we could’ve ended up with that MIB/21 Jump Street crossover that Amy Pascal wanted to do."
160,Lou,"@McSuperfly Because their characters is what made this franchise popular. It wasn't necessary for them to be the main protagonists in this movie. Having them even as supporting character could have even worked out. But cutting them off the series is quite offensive. And to be honest, Chris Hemsworth isn't funny at all."
161,McSuperfly,"We’ve had three movies with them, what’s wrong with freshening up the franchise with some new actors? (Although I will admit that Tessa Thompson comes off a bit arrogant and unlikable in these trailers)."
162,David Sastre,"Without respect, we reject."
163,MTrenchon,"In any movie he appears or different name in movies, I still called him Thor"
164,Noname daguyBloopers,If you wanna know what Thor 4 will look like this is it...
165,Ben Bramble,No original characters I'm disappointed I'm tired of movies trilogies not sticking to the original cast
166,SOA STUDENT,"No Smith, No Jones, No go!, This is not MIB!
IM ONLY HERE TO SUPPORT THE THUMBS DOWN BUTTON AND IM GONE!"
167,Mackenzie Lefler,SOA STUDENT lol then leave
168,Salvador Hernandez,k we dont want you here bye
169,bright SUN shine,Valkiria and Thor for me 🤨
170,David Mychajlyszyn,Looks stupid.
171,Johnny Muen,Wow this looks so boring and uninspired!
172,Vatsal Patel,"No Will Smith 
No Tommy Lee Jones




MIB fans: Are you kidding me??"
173,yuh boii,It ain't the same
174,NlGGAS IN MY BUTTHOLE,"""Men in black"" adds a woman agent"
175,CooManTunes,"It's really funny and painfully contrived that the two leads in Men In Black are always a white person and black person.  K recruited J because he could chase down an alien on foot.  Not because he was black. :'D  Hollywood can be exhaustingly stupid, man."
176,Ivan Adam,Pls bring back ballchinian 😂
177,Cristian Gonzalez,MEN IN BLACK MENNNNN
178,Z3N0X 950,AHHH THAT'S HOT.
179,BAD BOY,why is it even called the Men in Black when one of them is a Women
180,Dr Jack Bright,This is better than  Marvle😎😸😃😊😄😆😉😤😌🌝👓(　^ω^) (*˘︶˘*) (^__^)
181,alex haydar,I am watching this movie I am hyped
182,Carl Vincent Yap,I liked will smith better
183,himanshu khadatkar,Fab
184,Mitch McGrath,Political correctness is a cancer on Hollywood. R.i.p MIB
185,Michael Hensley,"Check the trailer several times, maybe I am wrong, but I think of the them is a Women in Black."
